Dataset,Window,Phase,N_Simul,Count,Pct,N_Total
SG_Total,30,Conjunction,4,4923,1.9169,256824
SG_Total,30,Opposition,4,4687,1.825,256824
SG_Total,30,Conjunction,5,692,0.2694,256824
SG_Total,30,Opposition,5,525,0.2044,256824
SG_Total,30,Conjunction,6,71,0.0276,256824
SG_Total,30,Opposition,6,24,0.0093,256824
SG_Total,30,Conjunction,7,0,0.0,256824
SG_Total,30,Opposition,7,0,0.0,256824
SG_Small,1,Conjunction,0,145396,96.1607,151201
SG_Small,1,Opposition,0,145421,96.1773,151201
SG_Small,1,Conjunction,1,5687,3.7612,151201
SG_Small,1,Opposition,1,5683,3.7586,151201
SG_Small,1,Conjunction,2,116,0.0767,151201
SG_Small,1,Opposition,2,97,0.0642,151201
SG_Small,1,Conjunction,3,2,0.0013,151201
SG_Small,1,Opposition,3,0,0.0,151201
SG_Small,1,Conjunction,4,0,0.0,151201
SG_Small,1,Opposition,4,0,0.0,151201
SG_Small,1,Conjunction,5,0,0.0,151201
SG_Small,1,Opposition,5,0,0.0,151201
SG_Small,1,Conjunction,6,0,0.0,151201
SG_Small,1,Opposition,6,0,0.0,151201
SG_Small,1,Conjunction,7,0,0.0,151201
SG_Small,1,Opposition,7,0,0.0,151201
SG_Small,2,Conjunction,0,139932,92.547,151201
SG_Small,2,Opposition,0,139724,92.4094,151201
SG_Small,2,Conjunction,1,10820,7.156,151201
SG_Small,2,Opposition,1,11074,7.324,151201
SG_Small,2,Conjunction,2,441,0.2917,151201
SG_Small,2,Opposition,2,397,0.2626,151201
SG_Small,2,Conjunction,3,8,0.0053,151201
SG_Small,2,Opposition,3,6,0.004,151201
SG_Small,2,Conjunction,4,0,0.0,151201
SG_Small,2,Opposition,4,0,0.0,151201
SG_Small,2,Conjunction,5,0,0.0,151201
SG_Small,2,Opposition,5,0,0.0,151201
SG_Small,2,Conjunction,6,0,0.0,151201
SG_Small,2,Opposition,6,0,0.0,151201
